account_id,customer_id,branch_id,account_type,account_status,open_date,close_date,balance,currency,interest_rate,overdraft_limit,monthly_fee,account_number
ACC2881518,CUST000427,BR013,Savings,closed,11/03/2017,,9111.91,usd,2.5623,500,15,641406180833
ACC5106329,CUST004751,BR006,Business,open,09/04/2002,,11727.87,US Dollar,3.2845,1000,10,989520598515
ACC3738870,CUST004302,BR009,CHK,Open,"February 04, 2005",,2026.59,,3.2941,100,10,493064504403
ACC5936769,CUST004063,BR005,money mkt,open,06/09/2015,,979.21,$,4.0153,$250.00,12,749199123527
ACC7434588,CUST003964,BR034,Checking,Open,10-12-2009,,,$,3.9849,,25,503109029183
ACC1599974,CUST000766,BR032,MONEY MARKET,ACTIVE,10/11/2003,,1619.33,EUR,4.6607,,5,080372845303
ACC7900499,CUST004300,,Savings,Inactive,,,775.09,GBP,5.0376,,12,982278920889
ACC7600742,CUST004316,BR035,Savings,N/A,2022-04-01,,"$3,738.50",EUR,0.702,$250.00,15,715499789285
ACC1294927,CUST004438,BR012,Checking,active,08-07-21,09/21/2016,2589.82,,0.6956,0,15,790334484195
ACC8059435,CUST003506,BR045,Buisness,open,13-10-2009,,8030.75,USD ,4.6431,0,25,597055039066
ACC1445084,CUST002017,BR045,Savings,Active,"March 10, 2004",,130.55,USD,1.717,500,5,213873298668
ACC5951026,CUST003882,BR038,Money Market,ACTIVE,20-07-07,,4129.81,EUR,2.1636,100,0,747295981770
ACC8552185,CUST004852,BR048,MM,open,"December 09, 2021",,5757.92,$,2.4376,250,15,203614507362
ACC8228443,CUST003287,BR047,Checking,active,"April 27, 2019",,5699.92,USD ,3.8513,250,0,504708424238
ACC1299046,CUST000380,BR039,Savings,active,29-01-2019,,"$8,688.82",USD,4.2848,500,0,751606315240
ACC3692706,CUST001713,BR023,money mkt,Active,"September 15, 2020",,5223.04,,,,15,825473397750
ACC5827273,CUST003945,BR018,Business,Suspended,09/02/2012,,10513.82,US Dollar,4.2759,1000,12,522143550999
ACC5785117,CUST002415,BR026,Current Acct,Suspended,99/99/9999,,1617.8,EUR,1.757,100,0,108751998426
ACC5896961,CUST002825,BR018,Checking,Open,"May 15, 2008",,2798.35,USD ,,1000,10,635153115552
ACC3046770,CUST001187,BR028,Checking,N/A,NULL,,56.72,,4.9013,250,5,105180898686
ACC2262106,CUST000141,BR040,Savings,Suspended,17-09-2006,,27.93,USD ,2.0437,100,0,065722218683
ACC4018051,CUST002765,BR014,Business,open,28/07/2018,,1098.41,EUR,1.7031,USD 500.00,15,890643425222
ACC2958418,CUST000233,BR045,savings,active,21-03-18,,425.03,usd,0.4493,250,5,170430474884
ACC3214127,CUST001201,BR011,Checking,open,25-06-2009,16-03-22,1205.56,,1.3269,0,25,706002025427
ACC9551883,CUST004036,BR010,Checking,Suspended,08/14/2007,,779.41,usd,1.1841,1000,15,488374464533
ACC3718072,CUST000122,BR046,BUSINESS,Active,05/10/2022,,115.74,EUR,1.6103,0,10,607142082919
ACC1239497,CUST003028,BR033,Money Market,Active,NULL,,9600.97,$,4.773,,10,372500027472
ACC3690726,CUST001249,BR003,Business,N/A,"October 16, 2023","December 11, 2023",33.03,EUR,4.7991,500,0,644810728432
ACC6304564,CUST001416,BR009,BUS,active,,,5328.47,,2.6229,250,15,044094586308
ACC8407247,CUST001961,BR032,Savngs,Open,"March 30, 2008",,660.2,EUR,2.9837,0,5,069111294039
ACC2263650,CUST004403,BR007,CHK,Open,01-12-2012,"February 11, 2021","9732,12",$,1.0849,,10,924193709993
ACC3334907,CUST003305,BR006,BUSINESS,Inactive,08/20/2015,,8932.08,EUR,3.4389,,0,533060704770
ACC9266482,CUST001337,BR046,Savngs,CLOSED,17-06-02,,-4244.12,US Dollar,5.4668,1000,10,570919439261
ACC2435860,CUST000847,BR018,SAV,N/A,2023-03-10,,4461.82,US Dollar,4.0845,500,15,682257015346
ACC7646629,CUST003547,BR025,checking,Suspended,06-03-16,,,,5.3187,100,25,028681187088
ACC7798162,CUST002004,BR047,Savngs,Active,"June 27, 2016",,16764.72,US Dollar,4.9654,0,0,759724404530
ACC3019558,CUST003967,BR046,money market,CLOSED,08/13/2014,,8409.45,$,1.0421,1000,15,177402774816
ACC8059855,CUST004685,BR012,checking,Inactive,13-03-25,,,$,0.6888,250,12,783454604165
ACC3783546,CUST000237,BR040,sav,N/A,12/13/2007,,4306.36,EUR,0.5689,0,0,284295079132
ACC4370786,CUST002979,BR036,Money Market,Active,2013-03-30,,1691.18,GBP,1.2973,,0,083851909104
ACC6203690,CUST001323,BR044,Biz,open,16/07/2008,31/01/2014,8964.03,,5.4697,500,25,294055547043
ACC8386984,CUST000699,BR005,BUSINESS,Active,01/27/2015,,1378.52,GBP,,100,10,163225092870
ACC4000825,CUST001626,BR031,Money Market,open,10/25/2004,,3308.65,$,2.2665,250,12,975983071093
ACC4266160,CUST004955,BR043,Checking,Suspended,"February 17, 2012",,420.25,USD ,2.6827,250,12,377053439744
ACC6409564,CUST002570,BR020,Checking,open,16/02/2022,,10201.91,$,4.9735,0,15,863301317434
ACC5704859,CUST002082,BR009,Checking,Closed,07/23/2014,11-12-2015,606.88,usd,4.9152,500,5,624425060380
ACC2676186,CUST003793,BR040,Money Market,Frozen,NULL,,,USD ,1.9211,100,12,090502380841
ACC7536189,CUST004273,BR033,Savings,Suspended,07-11-2002,,3267.0,US Dollar,5.4632,250,5,258086968689
ACC3073413,CUST002481,BR045,Savings,ACTIVE,02-01-19,26/12/2004,5777.27,,4.0827,,12,920110801790
ACC5473469,CUST003215,BR009,Savings,ACTIVE,"September 16, 2016",01-03-2018,3863.51,US Dollar,3.3371,100,12,801265878312
ACC1606390,CUST002400,BR009,Business,Inactive,11/04/2006,26-02-2011,1056.56,,0.8337,$250.00,25,191190342958
ACC5042784,CUST002894,BR024,Savings,closed,08-10-14,,3.77,usd,3.2532,100,15,632980651652
ACC6771652,CUST001980,BR044,check,Inactive,02/14/2013,,5661.25,USD,4.5238,100,25,661845245372
ACC5656934,CUST000852,BR033,Savings,CLOSED,2006-12-14,,16854.49,EUR,4.6375,250,25,968474644337
ACC2184927,CUST003200,BR045,SAVINGS,active,17-11-03,,"$6,641.10",,3.7469,100,15,107047086773
ACC5400601,CUST000341,BR019,Money Market,Open,21-05-04,,2466.28,GBP,3.007,100,10,649260448859
ACC8228124,CUST004656,BR047,Checking,N/A,07-03-2023,,9363.94,,4.8741,100,25,301190453478
ACC3304609,CUST000607,BR009,Savings,Active,29/07/2017,,2109.5,GBP,0.3323,1000,10,046311347636
ACC6388523,CUST001326,BR019,check,open,19-11-2013,,2977.21,$,1.4356,1000,15,545001726558
ACC5540644,CUST000169,BR003,MONEY MARKET,Inactive,20/12/2006,,2593.69,$,1.1944,0,15,305716569189
ACC9375348,CUST003509,BR008,business acct,Suspended,27/07/2009,,2374.1,$,3.9203,1000,10,793555840069
ACC4021732,CUST000904,BR023,Savings,CLOSED,16-04-2021,,5970.01,USD ,1.191,,5,821246522132
ACC1181489,CUST000034,BR012,Business,closed,2005-04-11,,2992.69,$,,1000,15,464156684606
ACC6517362,CUST002314,BR002,business,ACTIVE,26-08-2022,,1523.39,USD ,4.6881,$0.00,15,879033017575
ACC3617626,CUST002349,BR049,money market,Open,19/04/2022,,1194.48,,,0,0,421095231191
ACC2911805,CUST003792,BR041,Money Market,Open,2016-11-16,20-03-13,153.91,GBP,1.543,,25,688158463155
ACC4482184,CUST003446,BR031,Business,N/A,2008-05-23,18-02-28,3500.55,USD,1.015,1000,12,356171404540
ACC3624819,CUST001085,BR024,Buisness,CLOSED,99/99/9999,,1045.26,USD ,4.0196,500,5,824492603156
ACC7594013,CUST002903,BR032,money market,Closed,10/12/2004,,641.3,USD,,1000,25,421382832173
ACC3331964,CUST003634,BR001,Money Mkt,closed,"April 20, 2021",,4243.3,USD ,4.4947,1000,12,443875384073
ACC2270296,CUST003029,BR014,Current Acct,Active,"November 20, 2017",,4572.88,,4.6505,,10,220096768395
ACC8148433,CUST001485,BR007,SAV,active,17-04-2000,,5579.81,USD ,2.572,500,12,684285931177
ACC8623573,CUST003791,BR017,SAV,open,20-11-2019,,2801.31,USD ,0.139,100,0,311980861467
ACC9477081,CUST001156,BR028,MONEY MARKET,N/A,20-11-2004,,8979.33,,0.8208,,15,809151271084
ACC7888987,CUST003521,BR019,Money Market,Frozen,12-11-06,,11016.97,$,1.3071,1000,12,638005830715
ACC9845840,CUST003512,BR006,Savngs,Frozen,2010-03-31,,6587.96,USD,3.7504,100,5,250864566329
ACC1632809,CUST001851,BR014,BUS,Inactive,"August 13, 2013",,4037.94,usd,1.3153,,12,971209218921
ACC8941309,CUST003311,BR017,MoneyMarket,Suspended,26-01-2015,,1448.02,$,2.6898,100,5,904620709024
ACC8821032,CUST004624,BR005,sav,Inactive,17-06-10,,16285.23,usd,1.1157,$0.00,25,792590339192
ACC8066336,CUST004457,BR036,Savngs,Closed,99/99/9999,,1281.57,$,5.4195,0,25,184929644840
ACC4483185,CUST000812,BR008,Checkng,Active,05/08/2021,,USD 905.88,GBP,3.7781,1000,5,108674918397
ACC2132889,,,svgs,Suspended,,,2334.69,US Dollar,3.0429,0,12,487750282296
ACC8823872,CUST002077,BR027,Business,closed,"September 17, 2023",,234.08,$,3.8895,500,15,890689162948
ACC3854851,,BR026,Checking,Active,NULL,,15357.78,USD,1.6262,,0,164966567859
ACC8715187,CUST000580,BR026,Checking,closed,20-11-08,,3551.14,USD,0.2312,0,5,639285770788
ACC1832423,CUST001388,,business,Closed,14-06-2018,,"3256,31",USD ,1.6644,500,5,566800410168
ACC2606456,CUST001974,BR005,BUS,closed,12-09-22,,4266.09,USD ,2.031,1000,12,492641617554
ACC9887453,CUST004226,BR018,Money Market,open,"July 09, 2022",,2748.85,usd,4.3513,,25,518487056659
ACC6870668,CUST000667,BR006,Business,Closed,14/02/2020,,130.36,usd,4.2058,,12,191323671948
ACC2309358,CUST001267,BR025,Money Mkt,Closed,24/05/2020,,3790.21,usd,1.3891,250,10,085060385401
ACC6516591,CUST000432,BR041,BUSINESS,Active,08/05/2017,,5037.57,USD ,4.8323,,5,830502419546
ACC1291647,CUST000466,BR021,money market,N/A,23-09-2003,,2156.55,$,1.5663,100,5,376632625547
ACC9119209,CUST004383,BR028,Savings,Suspended,01/07/2004,,5663.64,,4.4702,500,10,164229500722
ACC8689889,CUST000736,BR044,Savings,closed,2014-08-19,,"1029,91",,0.7224,250,15,054982098108
ACC7104478,CUST000909,BR050,business acct,ACTIVE,10/08/2009,,1000.4,$,1.0729,250,15,954430976511
ACC4492174,CUST003304,BR012,Checking,Inactive,16-02-08,2018-03-05,704.17,USD,5.46,250,25,006074406125
ACC3632598,CUST002566,BR024,Business,N/A,"January 14, 2001",10/26/2004,1860.83,EUR,1.1423,500,25,103647218494
ACC8186065,CUST003302,BR029,Checkng,open,14-08-2013,,7509.58,GBP,2.0359,100,5,654945329418
ACC8804769,CUST002921,BR019,Business,open,2001-08-30,,7039.0,US Dollar,3.4911,500,25,805424749726
ACC2198253,CUST004210,BR023,money mkt,Frozen,20-01-2004,,1930.41,EUR,2.2493,,10,380982869571
ACC2794130,CUST000537,BR028,Savings,CLOSED,"February 25, 2000",,3557.8,EUR,3.564,500,5,421322171355
ACC6262839,CUST002560,BR001,CHECKING,Inactive,15/06/2016,,5103.54,EUR,0.5169,500,12,393463932018
ACC1612601,CUST003512,BR016,CHK,Open,2018-07-28,,1104.1,GBP,1.5853,,5,715175200565
ACC3120004,CUST001551,,Checking,N/A,05/02/2002,,736.37,usd,0.5998,USD 0.00,10,689136804272
ACC5881464,CUST000134,BR012,Current Acct,open,07-10-17,,14315.94,,4.7611,1000,5,617709047562
ACC3715610,,BR035,Money Market,Inactive,2007-11-29,12-10-2009,3844.71,,2.1611,0,12,071751895403
ACC8647748,CUST001483,BR020,Business,closed,,,15941.76,GBP,1.3411,500,25,930149811091
ACC3172257,CUST001400,BR033,Savings,Open,2007-07-05,,"$1,648.48",USD ,,0,12,780214307199
ACC1212111,CUST002741,BR015,Business,Open,"March 11, 2013",19/06/2019,"4856,52",GBP,4.7833,100,25,295436638546
ACC8371449,CUST001267,,checking,CLOSED,"May 21, 2014",,1007.22,USD ,3.8537,,10,476633370400
ACC5237865,CUST003996,BR001,Money Market,N/A,10/04/2017,,1210.91,usd,4.9058,1000,10,195200854741
ACC9541434,CUST002268,BR022,Money Market,N/A,00-05-18,09/25/2001,2868.96,USD,3.9339,0,10,905750087942
ACC9006208,CUST000885,BR039,Checking,CLOSED,"October 14, 2022",,,USD ,1.081,"$1,000.00",25,175949266890
ACC8053319,CUST000486,BR027,Checking,Suspended,"April 24, 2004",,,EUR,4.3705,1000,10,837983242832
ACC5339219,CUST002461,BR027,Checking,Open,"October 18, 2013",,"$1,220.02",GBP,2.471,$500.00,15,104170869399
ACC9346067,CUST004532,BR049,Money Market,active,"November 05, 2014",,145.61,GBP,5.0469,USD 0.00,15,743452545369
ACC1508447,CUST001892,BR019,MM,Closed,15-01-23,,4875.31,$,3.2377,100,0,336892544581
ACC9281172,CUST002472,BR001,Savngs,Closed,00-01-15,,271001.0,,1.3209,$0.00,12,258231658813
ACC9528545,CUST000714,BR030,Business,closed,NULL,08/30/2021,395.94,usd,4.3147,500,0,725190265793
ACC4608837,CUST000292,BR004,Savings,Active,"January 23, 2012",,753.49,$,1.2091,250,25,039668115178
ACC5961048,CUST002068,BR003,Money Market,Active,11-03-08,,,GBP,0.3235,1000,0,980957038770
ACC7755673,CUST001158,BR020,Money Market,Open,04/26/2004,,3793.12,EUR,4.1166,500,25,525577733619
ACC6909290,CUST002111,BR018,MoneyMarket,N/A,10/08/2000,,395.79,,1.896,100,5,680691576280
ACC6090438,CUST002384,BR045,Savings,closed,13/01/2015,,5614.29,usd,,1000,15,441221638257
ACC8003947,CUST001262,BR048,Savings,open,20/01/2014,,82.9,USD,0.6197,0,15,157430231835
ACC7971015,CUST002864,BR007,money market,active,20-03-2002,,1147.4,USD,0.3224,0,12,838850841862
ACC5674456,CUST003448,BR005,Business,Inactive,"September 01, 2006",99/99/9999,8853.42,EUR,,250,25,618744508388
ACC6395362,CUST003127,BR002,Checking,active,23-04-2014,,5070.94,usd,3.2645,500,15,859793201163
ACC4693806,CUST001626,BR048,money market,Closed,03/06/2009,,$303.07,GBP,5.3076,250,5,286980580352
ACC7814912,CUST004299,BR013,svgs,CLOSED,99/99/9999,,6884.3,EUR,4.8566,100,0,876754163815
ACC6172180,CUST002212,BR013,SAVINGS,active,2008-02-11,,"$2,717.25",$,2.1469,0,25,893480442909
ACC2442247,CUST002234,BR027,Checkng,Open,10/05/2009,18-12-04,7503.6,US Dollar,0.356,0,10,678246942897
ACC6583278,CUST002484,BR012,Checking,Open,"July 07, 2018",,3672.57,US Dollar,0.2133,250,0,100839113638
ACC6342137,CUST003445,BR028,Checking,ACTIVE,08/09/2023,,4580.72,EUR,4.7271,500,15,976652570966
ACC2776545,CUST002200,BR049,Money Market,closed,"January 12, 2020",03/08/2020,20144.77,$,2.4343,250,0,447098924451
ACC3581192,CUST000651,BR034,check,N/A,99/99/9999,,"1057,61",$,2.5217,500,25,024865796382
ACC2635556,CUST000411,BR049,Checkng,Frozen,02/04/2002,,3912.09,,5.0877,250,5,586847263257
ACC5788153,CUST001038,BR043,Checking,Closed,23-07-2002,,2467.13,EUR,3.6754,500,5,024554529714
ACC1919148,CUST004435,BR027,Business,Frozen,"July 25, 2022",13/05/2023,161.01,USD ,0.0561,0,10,422624520856
ACC8343591,CUST003434,BR041,MONEY MARKET,closed,99/99/9999,15/10/2022,58.31,usd,2.0587,0,25,099143385124
ACC3767261,,BR048,Money Market,Inactive,"March 22, 2012",,507.83,EUR,3.1005,500,12,629416339233
ACC1483038,CUST001894,BR017,Checking,Active,"May 30, 2014",,USD 4188.92,USD,5.3036,0,12,729382670934
ACC7618296,CUST004872,BR032,Savings,Frozen,04-03-02,,3349.58,,1.3987,1000,5,850359158981
ACC1569277,CUST004567,BR041,Business,active,2015-02-02,,3224.63,USD ,0.2145,0,0,185306651547
ACC6272758,CUST004521,BR021,Savings,Inactive,,"November 22, 2021",$129.50,USD ,5.3191,500,0,096858356869
ACC4745020,CUST004376,BR030,BUSINESS,Closed,16-12-10,,2534.26,EUR,1.0542,250,10,568275378654
ACC2908843,CUST004064,BR041,Buisness,Inactive,"August 16, 2004",,10341.0,GBP,2.9275,1000,10,766294552448
ACC5665252,CUST002126,BR032,checking,CLOSED,99/99/9999,,2027.28,USD ,2.6298,1000,15,283190774990
ACC5090315,CUST004920,BR010,Checking,open,23-11-2008,,3922.49,$,4.8911,0,0,521380409689
ACC5325277,CUST004524,BR046,Business,Open,29-04-2010,,6053.22,EUR,5.3994,500,15,219228636870
ACC1164775,CUST004140,BR005,Savings,open,07/08/2007,,6128.52,$,4.6263,USD 1000.00,12,814386833514
ACC9186261,CUST001024,BR010,business acct,active,"October 24, 2015",,2929.88,USD,2.6667,500,25,230835930586
ACC9240964,CUST000883,BR014,Savings,closed,"September 19, 2020",,7806.36,usd,1.5245,250,0,314552651547
ACC9558236,CUST000405,BR039,Money Market,N/A,NULL,17-12-12,1986.23,USD ,3.1795,,5,235228490117
ACC8969555,CUST001460,BR012,Money Market,Closed,00-11-21,,8781.86,EUR,1.0643,500,10,297850497592
ACC9236335,CUST003081,BR046,Savings,Open,2017-01-09,,1098.94,GBP,3.3502,0,5,206962610810
ACC4863195,CUST001497,BR011,Money Market,Suspended,12/28/2021,,1315.22,USD ,,500,10,191732582926
ACC3377642,CUST003151,BR003,money mkt,N/A,"September 16, 2009",,218.33,$,3.5042,250,15,579203298818
ACC1369848,CUST003696,BR025,Checking,Inactive,2017-10-19,,6350.35,US Dollar,2.1166,100,15,912024486335
ACC4621987,CUST002169,BR045,Checking,CLOSED,03/21/2018,,2158.65,,3.1896,500,5,715998147400
ACC2403058,CUST000498,BR014,SAV,ACTIVE,02-02-01,,1040.87,US Dollar,3.967,1000,10,937472707683
ACC3208720,CUST002503,BR011,Money Market,closed,12-06-2011,,1054.77,$,2.0518,100,15,784121327160
ACC5307830,CUST002888,BR025,Savings,ACTIVE,"May 14, 2019",,"$9,266.73",GBP,5.4232,,15,009871759030
ACC9645571,CUST003244,BR027,business acct,Active,05/16/2020,,7181.06,usd,2.1625,,10,156012079283
ACC2063363,CUST003444,BR012,Money Market,Open,2005-03-11,,3225.54,USD,5.2124,250,25,397919668159
ACC4183475,CUST003391,BR017,Checking,active,"January 03, 2018",12/06/2021,3829.61,,5.0531,100,10,823826707951
ACC2069126,CUST001105,BR008,money market,active,"April 30, 2013",2018-10-06,,GBP,2.0816,500,25,878531274392
ACC5541983,CUST000977,BR019,MoneyMarket,active,03/05/2020,,1988.13,US Dollar,3.1399,100,25,689435340442
ACC4650668,CUST004858,BR025,Savings,open,02-06-10,,9882.92,usd,1.2426,0,5,447425638463
ACC4313572,CUST000283,BR050,Money Market,closed,16-08-25,09-12-2018,USD 536.93,USD ,3.2407,1000,5,965354281362
ACC8531849,CUST003364,BR007,Savings,Active,2010-10-13,,2168.21,US Dollar,4.9989,1000,0,915318635442
ACC1306147,CUST004989,BR027,svgs,Inactive,2017-07-20,,1689.81,EUR,2.8499,"$1,000.00",5,926209021248
ACC8063950,CUST004949,BR021,Checking,open,"August 06, 2012",,2757.82,usd,2.1357,,10,004514575409
ACC5460551,CUST003800,,BUS,Inactive,28/10/2000,,2447.24,GBP,3.7159,,0,216684123270
ACC1339022,CUST003540,BR007,money mkt,closed,06-10-25,,2926.63,US Dollar,5.2039,1000,15,139129598648
ACC6064682,CUST002523,BR025,savings,N/A,02/02/2009,,602.91,USD,2.5366,,0,560325375100
ACC3994540,CUST003812,BR013,Checking,Inactive,10/02/2008,,"2879,13",EUR,4.121,250,0,168077991547
ACC7328147,CUST003701,BR044,Savings,Active,06/19/2000,,1110.5,,1.0554,,10,346783196227
ACC3939020,CUST002617,,Savings,Inactive,18-11-2008,,814.99,USD ,3.1869,500,15,901041796827
ACC9512693,CUST000936,BR020,svgs,closed,,,268.13,$,5.3681,500,0,434575975615
ACC2097012,CUST001936,BR048,Business,open,30-08-2021,,USD 5752.92,,1.9304,1000,0,704127894316
ACC2313438,,BR026,business,open,"May 07, 2008",,2230.56,GBP,,250,12,967410950959
ACC9312545,CUST003739,BR014,money market,Active,2006-03-17,,3940.89,,5.1969,100,12,163402225444
ACC9932494,CUST002594,BR049,Business,Frozen,09/04/2003,,5201.84,USD,1.0918,1000,5,866214883856
ACC3904861,CUST003351,BR015,savings,closed,"September 09, 2005",,4549.2,usd,3.5467,250,10,810466662426
ACC6038332,CUST003424,BR021,savings,Open,11-06-2005,,2543.29,US Dollar,,,0,019759339813
ACC8049008,CUST004398,BR033,Checkng,closed,30-06-2008,25-06-2014,1963.43,USD ,4.7759,500,25,074119577968
ACC4156394,CUST004167,BR049,money mkt,Inactive,07-10-03,,1886.16,GBP,2.3446,,25,598280197475
ACC3854330,CUST001810,BR020,Savngs,Open,02-04-18,,4087.15,,3.7532,100,15,247844642896
ACC2406771,CUST000364,BR050,MoneyMarket,CLOSED,"January 18, 2004",,2731.16,usd,3.5043,1000,5,523923768972
ACC1061346,CUST004295,BR019,Savings,open,11-05-30,,"$7,565.41",GBP,2.8289,100,12,252424229942
ACC4430794,CUST004417,BR044,MM,Closed,29-06-2002,,8308.24,USD ,3.8295,500,0,480745815163
ACC4879778,CUST003946,BR038,money mkt,Inactive,2019-05-10,,748.02,USD ,2.9141,250,10,955376868072
ACC6196533,CUST000159,BR022,business,CLOSED,02-11-2007,,585.81,USD,4.6543,0,5,683439199728
ACC8618477,,BR036,svgs,Open,21-11-15,,USD 3981.35,USD,0.3909,0,12,333790881345
ACC6930181,CUST002240,BR043,Buisness,ACTIVE,06-07-2007,,1433.71,usd,1.5861,0,10,441966005963
ACC4643697,CUST003281,BR010,Savings,Closed,20-09-20,,74.98,usd,4.7354,1000,0,897960894999
ACC5069380,CUST004927,BR013,Business,Frozen,"April 17, 2009",21-10-13,8780.04,$,4.8536,500,15,850667986652
ACC5805970,CUST004051,BR049,Business,N/A,09-01-2003,,1029.39,usd,3.8136,,0,346035334187
ACC7617658,CUST001864,BR011,Checking,active,20-11-06,,10596.14,$,4.9564,USD 100.00,12,610793300666
ACC6935286,CUST003183,BR028,svgs,Open,26-05-2005,18-09-14,5055.38,US Dollar,2.5056,250,0,474591506334
ACC3203373,CUST000269,BR012,Checking,closed,NULL,05/08/2023,5752.94,GBP,2.9572,,25,949309069096
