customer_id,first_name,last_name,date_of_birth,gender,email,phone,address,city,state,zip_code,annual_income,occupation,credit_score,customer_since,branch_id,is_high_risk,kyc_status,nationality,referral_source
CUST000014,Brian,MOORE,2001-08-13,F,craigjoseph@example.net,+1-979-676-4381,69003 Dougherty Trafficway,Port Jonathan,MD,16227,3035.19,Self-Employed,529,08-11-2004,BR028,,Verified,Albania,Walk-in
CUST000015,Tyler,Jordan,06/08/1942,M,omarpadilla@example.net,175-186-0607,641 Smith Islands Apt. 975,South Meganbury,NE,77685,9627.88,Lawyer,383,"March 16, 2012",BR049,,Not Verified,Iran,Branch
CUST000016,alexandria,Foster,,F,julie35@example.org,+15813883552,3292 Gregory Trail,Marshallshire,WV,76453,50319.94,Driver,343,99/99/9999,BR021,True,,Kiribati,ONLINE
CUST000017,Erin,  Macias,"December 21, 1965",M,michelle52@example.com,N/A,0054 Deanna Walk Apt. 998,Fordside,WY,97352,34550.91,Driver,451,08/07/2010,BR042,No,Pending,Ukraine,branch
CUST000018,Blake,Stout,15-08-1981,F,marcalvarez@example.org,9719518203,5466 Shelton Center,Cameronville,OH,89417,"$80,998.66",Developer,392,29/09/2022,BR029,FALSE,N/A,Hungary,N/A
CUST000019,Justin,Cummings,1953-07-14,MALE,mathewaguilar@example.org,000-000-0000,54235 Lee Dam Apt. 141,Lake Matthewberg,PA,49878,38219.16,Nurse,558,29-09-2006,BR042,True,Pending,Cape Verde,Branch
CUST000020,francis,Guerra,67-10-10,0,jenniferwilliams@example.com,+1-193-799-4738,,Kimberlyhaven,NC,55375,20569.37,Self-Employed,839,01-09-10,BR011,TRUE,Pending,Central African Republic,Online
CUST000021,Lisa  ,Solis,11/10/1976,F,moniquewilliams@example.com,,5060 Shaw Freeway,Vangstad,IN,04195,121297.71,Manager,556,2002-05-04,BR034,No,verified,Ghana,Referral
CUST000022,Sarah  ,combs,"June 21, 1964",f,lacey20@example.com,N/A,41036 Brown Villages Suite 980,Lake Douglas,ZZ,00706,62097.83,Lawyer,305,99/99/9999,BR010,,,Nicaragua,Walk-in
CUST000023,Michael,Duncan,61-04-26,F,elizabethmiller@example.com,288.888.8067,0515 Jessica Road Apt. 952,West Amyburgh,US,90243,72363.49,Self-Employed,320,07-07-2017,BR002,0,Not Verified,Kyrgyz Republic,Branch
CUST000024,Tina,Mendoza,15/03/1992,F,lisabrown@example.com,+18439030548,34505 Martinez Land Suite 676,Terrifort,UT,65712,,Teacher,707,27-03-2021,BR004,0,verified,Heard Island and McDonald Islands,online
CUST000025,Sandra,Stone,79-03-15,F,acostachristian@example.net,(984) 851-1544,757 Jessica Knoll,Hillton,CA,88474,50946.6,Retired,661,2019-07-06,BR026,0,Pending,Northern Mariana Islands,Referral
CUST000026,Richard,Palmer,07/04/1994,F,stephaniethomas@example.net,+1-177-072-1355,92856 Banks Gateway Apt. 027,Mcintyreville,KS,34617,73882.29,Contractor,756,"August 16, 2009",BR009,No,pending,Romania,branch
CUST000027,Sean,Davies,16/11/1947,F,heather73@example.org,+1-617-627-1551,258 David Flats,East Kristy,AK,47804,"$29,715.22",Driver,432,"November 13, 2003",BR050,True,Not Verified,Micronesia,online
CUST000028,Ashley,Mcdonald,08/17/1997,M,cherylmiller@example.com,778-466-9125,68018 Kevin Estates,Sarahbury,MI,68513,83149.43,Manager,428,13-08-01,BR010,TRUE,N/A,Ukraine,
CUST000029,Justin,Miller,43-09-11,M,cynthiapierce@example.org,000-000-0000,09439 Montgomery Burgs,Smallside,LA,84637,48977.65,Manager,626,15-06-29,BR016,False,Not Verified,Zimbabwe,Marketing
CUST000030,Kevin,Sanchez,21-08-1952,M,eevans@example.net,427.767.7359,562 Robertson Coves Suite 371,Shannonberg,CT,07133,"$59,790.72",Self-Employed,661,08/03/2002,BR019,,Verified,French Guiana,ONLINE
CUST000031,Sonia,Lin,52-01-06,FEMALE,kwright@example.com,000-000-0000,8733 Williams Haven,Harperfort,LA,70846,48940.27,Manager,341,99/99/9999,BR031,,pending,Algeria,N/A
CUST000032,Melanie  ,Jordan,52-07-16,F,jessica65@example.org,6093835841,65585 James Pass,,MO,66047,134829.74,Analyst,533,02-04-21,BR025,TRUE,VERIFIED,,Branch
CUST000033,Billy,Williams,"February 11, 1957",M,linda87@example.org,198-265-9526,55169 Robles Stream Apt. 974,Lake Brett,NJ,22850,69527.6,Analyst,552,07-07-2012,BR046,FALSE,pending,Malta,online
CUST000034,Cristina,Harvey,04/14/1990,female,rhernandez@example.org,(891) 530-7562,970 April Points Suite 786,Suemouth,PW,70379,32980.12,Clerk,843,14/02/2010,BR044,TRUE,Verified,Guam,Referral
CUST000035,Amy,Lowe,07/03/1976,F,chelsea33@example.com,174-364-4375,98665 Kelly Heights Apt. 574,Lewisside,KY,74165,98789.07,Developer,409 pts,"January 11, 2015",BR009,,pending,Qatar,Branch
CUST000036,Joseph,Rodriguez,99/99/9999,M,johnsantiago@example.net,230.416.5712,773 Morris Rue Apt. 193,East Robertburgh,PW,05264,27270.47,Sales Rep,0,10-07-25,BR001,1,N/A,Taiwan,Online
CUST000037,Randy,Simpson,1999-11-29,M,nancy04@example.net,+1-151-534-7887,74205 Bradley Throughway Apt. 296,Robertsonland,MO,88221,77310.23,Manager,383,23-07-28,BR036,,VERIFIED,Bhutan,Referral
CUST000038,Jack,Taylor,"October 05, 1954",F,shari04@example.com,000-000-0000,174 Richard Parkway,Hannahport,MN,81061,"$1,411.55",Engineer,346,2019-01-02,BR031,Yes,verified,Cyprus,Referral
CUST000039,Jeffrey,Anderson,21/07/1997,F,  spencerzhang@example.com  ,+1-387-283-3918,822 Bond Mills,Lake Jamieshire,NM,12420,23513.49,Consultant,553,29/08/2020,BR003,True,Verified,United Arab Emirates,Branch
CUST000040,William,Stokes,49-01-19,M,aanderson@example.com,0015083740,5180 Valerie Mountains,West Robertberg,WI,84586,76890.14,Consultant,479,01/03/2019,BR034,0,,Saint Lucia,Walk-in
CUST000041,Debbie,Fisher,1973-10-09,M,ywest@example.com,000-000-0000,47868 Morrow Gateway,Reedview,ID,95531,95846.33,Chef,374,06/09/2008,BR022,1,Verified,Serbia,Marketing
CUST000042,Daniel,Pacheco,11-07-1950,F,bmendez@example.org,+1-211-890-7903,83028 Young Street Suite 995,West Nancy,TN,68822,75997.89,Teacher,449,"September 22, 2000",BR013,0,VERIFIED,Cyprus,Marketing
CUST000043,Robert,Hill,17-10-1984,0,conniesimmons@example.com,+18564856624,34270 Faulkner Point Apt. 634,West Deborah,NV,49138,,Teacher,536,,BR024,Yes,pending,Bermuda,Online
CUST000044,Amanda,Calderon,"November 15, 2021",F,adamsemily@example.net,(613) 298-3735,17393 Herman Plaza,Kimberlyfurt,NH,70447,59461.37,Sales Rep,382,2001-06-03,BR045,TRUE,Not Verified,Pakistan,ONLINE
CUST000045,Michael,  Green,09/11/1997,F,zowens@example.net,853-655-6093,53693 Pierce Spur,Jonathanfort,VA,84609,"18251,73",Lawyer,707,"June 14, 2003",BR035,0,,Saint Vincent and the Grenadines,Referral
CUST000046,Tracy,Jackson  ,01-11-03,M,gary87@example.org,+1-150-830-1006,,North Jeffery,NH,49417,44805.45,Officer,375,09/06/2003,BR021,0,Not Verified,Bahamas,Walk-in
CUST000047,CHRISTINE,Estrada  ,1979-11-25,F,bhopkinsATexample.org,+1-128-680-0848,18233 Ochoa Grove,,WY,52523,53877.64,Accountant,804,"July 18, 2006",BR024,1,VERIFIED,Belgium,branch
CUST000048,NATHAN,Sullivan,09-04-1993,M,veronicaperez@example.net,+12014666870,6591 Jerry Ways,Nelsonland,TX,37250,106999.28,Sales Rep,702,16-05-16,BR050,,Verified,United Arab Emirates,branch
CUST000049,Amy,Barrett,20/07/2003,M,sarahedwards@example.org,+10018267142,218 Brown Mews Apt. 159,Novakmouth,AK,83616,82026.64,Driver,387,26/11/2004,BR037,True,N/A,Faroe Islands,ONLINE
CUST000050,Kristen,Hayes,"July 03, 1949",M,michaelpugh@example.com,000-000-0000,265 Rodriguez Avenue Suite 754,East Christopherchester,NV,73506,8293.59,Manager,399,2019-08-27,BR008,Yes,N/A,Moldova,Referral
CUST000051,William  ,Garcia,18/11/1961,M,gomezchristopher@example.net,460.646.6183,7212 Hill Hills Suite 154,Lake Colleen,XX,81329,81342.94,Designer,801,"September 03, 2023",BR023,0,pending,Congo,Walk-in
CUST000052,stephen,taylor,95-02-16,MALE,rushmartin@example.net,,7935 Ramirez Turnpike Suite 519,New Wendy,HI,89854,56522.12,Driver,499,22/03/2017,BR046,False,pending,Seychelles,
CUST000053,  Andrea,Benton,42-10-08,M,nhahn@example.com,9168724342,058 Daniel Gateway Suite 290,Rasmussenmouth,WY,56921,,Contractor,553,2013-05-09,BR008,FALSE,VERIFIED,Botswana,
CUST000054,Alex,Green,2001-10-28,F,seanmyers@example.net,000-000-0000,4573 Bailey Court,Bowenmouth,MD,09305,91408.67,Consultant,429,14/12/2005,BR010,1,,French Southern Territories,Branch
CUST000055,Bradley,Page,96-11-04,1,sweeneydeborahATexample.net,,226 Johnson Ridges Apt. 796,Smithborough,IL,36984,106084.98,Contractor,796,02/06/2015,BR030,Yes,Not Verified,Sao Tome and Principe,Referral
CUST000056,Jane,Flynn,06-08-2019,female,lloydamanda@example.com,+1-737-714-7859,249 Emily Island Apt. 341,West Heather,ny,51417,10259480.0,Lawyer,755,99/99/9999,BR008,True,Pending,Italy,Marketing
CUST000057,Candace,Andrews,05/14/1974,M,olopez@example.net,(001) 728-2274,36887 Cohen Mall Suite 721,,OK,04545,40627.39,Doctor,426,03/23/2017,BR006,FALSE,verified,South Africa,Online
CUST000058,Kathleen,Carter  ,01/25/1999,F,JEFFREY42@EXAMPLE.COM,,361 Kenneth Bypass Suite 451,Grimesville,WI,00000,59177.57,Accountant,374,,BR004,True,verified,Sudan,N/A
CUST000059,  Joel,Cochran,04/08/1977,F,michelle96@example.org,+1-172-363-0958,481 Sydney Turnpike Suite 042,East Dustin,MD,32948,81594.22,Consultant,356,2013-11-15,BR045,Yes,Pending,Senegal,online
CUST000060,Megan,Long,02-12-1986,F,barbaraadams@example.com,(371) 916-8457,86363 Adams Village Suite 589,New Melissa,WY,45555,104144.08,Clerk,821,"February 12, 2000",BR010,TRUE,Verified,Uganda,ONLINE
CUST000061,Felicia,Williams,1960-02-21,f,simsmary@example.org,N/A,541 Beck Run,North Randy,ME,95657,USD 53228.90,Clerk,548,10/22/2020,BR035,FALSE,Pending,,ONLINE
CUST000062,Holly,Young,99/99/9999,M,padillaaaron@example.com,N/A,1361 Dakota Land,Derrickberg,SD,89254,63501.94,Sales Rep,681,07/25/2020,BR026,No,Verified,Cambodia,Referral
CUST000063,Casey,Elliott,03/29/1961,Female,  scottbowen@example.net  ,(001) 826-7973,41389 Maxwell Spurs,Port Melanieport,IL,68363,31278.28,Accountant,341,08/23/2009,BR026,,Verified,New Caledonia,Walk-in
CUST000064,William,Adkins,08/07/1955,M,debbie37@example.com,437.891.8055,8271 Brenda Bridge Suite 300,Hunterhaven,WI,54952,28132.77,Retired,639,05-06-30,BR047,True,pending,,ONLINE
CUST000065,Rodney,Morales,03/07/1955,FEMALE,joshuacollins@example.net,,61799 Kyle Streets,North Alexander,DC,92447,98438.4,Driver,652,22-07-15,BR050,1,Verified,Algeria,branch
CUST000066,Frank,Benton,01/07/1987,Female,gary24@example.net,N/A,507 Michael Glens Apt. 913,North Micheletown,IA,06527,117468.4,Clerk,492,2022-01-29,BR015,Yes,pending,,
CUST000067,Thomas,Reyes,,M,haroldhorne@example.org,(176) 335-3654,38061 Cline Trail,Markside,NH,01545,67479.65,Consultant,624,07-10-25,BR015,TRUE,,Heard Island and McDonald Islands,Walk-in
CUST000068,James,Elliott,1951-06-04,male,jodi37@example.com,001.573.7832,0641 Alyssa Freeway,Vasquezton,FL,93778,105123.65,Designer,555,2003-01-15,BR047,True,Pending,Fiji,branch
CUST000069,Christopher  ,Morse,"December 22, 1973",F,xhaynes@example.com,+1-001-519-6182,6557 Hall Flats Apt. 912,East Shannonmouth,MT,16326,82657.26,Student,468,06/23/2019,BR036,,verified,Mauritania,Walk-in
CUST000070,Michael,Townsend,23-04-1961,M,qparker@example.org,,044 Anthony Lodge Suite 883,,CT,61061,47420.81,Doctor,679,"February 09, 2017",BR018,Yes,Pending,Bosnia and Herzegovina,Branch
CUST000071,Linda,Taylor,47-09-09,F,brownkimberly@example.org,,721 Martinez Mountain,East Sandrachester,GU,95453,"$82,648.85",Self-Employed,450,05/24/2005,BR013,TRUE,Verified,Indonesia,ONLINE
CUST000072,Tyler,Reyes,11-02-1958,M,nthompson@example.org,947-220-9993,6263 Crystal Unions,South Kimberlystad,NJ,71872,123831.28,Clerk,848,15-06-04,BR003,TRUE,verified,Slovenia,
CUST000073,Todd,durham,09-08-1994,female,paul20@example.com,,039 Kelly Villages Apt. 239,Lindastad,PW,78038,68746.09,Doctor,716,21-09-24,BR005,1,,Antarctica (the territory South of 60 deg S),N/A
CUST000074,Jade,BELL,07/01/1991,male,annalopez@example.com,000-000-0000,59325 Samantha Vista Suite 002,Port Daniel,NC,48327,124762.53,Analyst,591,03/25/2001,BR042,FALSE,VERIFIED,Barbados,ONLINE
CUST000075,Nathaniel,Mcmahon,1986-01-18,m,vwillis@example.com,6226675289,09690 Carrie Valleys,Lake Ariana,NM,18935,0,Clerk,683,05-09-2012,BR018,1,verified,Greenland,N/A
CUST000076,Julie,Young,23/07/1961,M,gary15@example.com,N/A,626 Macias Keys Suite 179,East Shannon,AS,04880,98766.59,Driver,485,13-03-06,BR012,0,Not Verified,French Polynesia,Marketing
CUST000077,Andrew,Green,20/07/1967,F,jonesgeorge@example.com,(818) 415-9970,01533 Terry Stravenue Suite 443,North Philipside,MP,64850,73046.65,Clerk,446,11-03-2014,BR012,0,Verified,,Walk-in
CUST000078,Eric,Ward,"October 14, 1958",M,qmiller@example.net,187-391-0324,,Jacobsonview,CO,00000,59534.74,Driver,815,24-09-2013,BR034,,N/A,Norway,Referral
CUST000079,Amy,Lopez,30/09/1970,f,cwood@example.org,+1-877-543-4902,8687 Thomas Common,Orrton,NY,75371,73211.63,Teacher,689,17/07/2005,BR001,1,,United Arab Emirates,N/A
CUST000080,Zachary,Duncan,"March 21, 1964",Male,davidtodd@example.org,000-000-0000,116 Arnold Walks Suite 870,Rodriguezberg,FL,74765,435.09,,805,09/09/2006,BR017,FALSE,pending,Namibia,Walk-in
CUST000081,Brandi,Hanna,"September 11, 1963",F,buckleyannaATexample.org,885-464-6799,,Williamsmouth,UT,31640,62311.48,Nurse,578,04/20/2017,BR045,Yes,Pending,Australia,
CUST000082,Julie,Mccall,99/99/9999,F,andrew44@example.com,+15138247546,508 Cameron Station Suite 289,East Jamesborough,MP,08054,USD 82498.94,Self-Employed,529,"March 05, 2015",BR016,False,N/A,Egypt,ONLINE
CUST000083,Antonio,Williams,09-07-2013,male,N/A,761.403.5797,140 Williams Walk Apt. 333,Denisehaven,AK,89918,121726.29,Engineer,300,04-01-29,BR042,False,N/A,Algeria,Online
CUST000084,Thomas,Anderson,1959-12-31,F,carolynsmith@example.com,+1-184-436-6574,589 Evans Coves,Brownview,SC,43117,51860.54,Consultant,492,06/01/2005,BR007,True,Verified,Tokelau,
CUST000085,Joshua,Douglas,,F,jacob83@example.org,N/A,875 Bruce Ville,West Connor,DC,97614,41702.72,Designer,554,04/09/2012,BR039,,verified,Eritrea,N/A
CUST000086,Jessica,Hansen,02/29/1968,M,staceylam@example.net,+1-635-934-6554,0999 Thomas Fields,Port Erinhaven,ME,54647,52438.5,Consultant,325,01/31/2017,BR044,1,Pending,Austria,Walk-in
CUST000087,Monica,Hernandez,20/04/1958,M,matthewbenitez@example.com,2529175250,29271 Christina Roads Suite 667,Smithside,ID,96269,102039.07,Retired,676,10/23/2008,BR005,TRUE,Pending,Holy See (Vatican City State),Branch
CUST000088,Stephanie,  Mcclain,,M,andrewsmith@example.net,635-442-1689,44789 Hamilton Spur,West Wendy,nm,47588,81506.29,Sales Rep,817,02/24/2007,BR043,0,N/A,Sao Tome and Principe,Marketing
CUST000089,Jacob,Vaughan,99/99/9999,F,osmith@example.net,830.698.2150,010 Hannah Mall,Jamesside,KS,62681,51458.39,Driver,798,2001-12-19,BR011,,Verified,Reunion,Marketing
CUST000090,Eric,  Neal,"February 20, 2000",M,turnerdorothy@example.net,+15495926189,,Marieborough,ZZ,92701,87964.36,Chef,421 pts,99/99/9999,BR005,Yes,Not Verified,Ireland,N/A
CUST000091,KENNETH,Williams  ,07/09/1949,F,  slozano@example.com  ,N/A,7012 Melissa Lake Suite 611,North Melissaburgh,MA,47362,73397.71,Engineer,426,99/99/9999,BR035,,Not Verified,Uganda,online
CUST000092,Samuel,howell,12/30/1958,F,watsonmatthew@example.org,867-946-7621,96590 Timothy Oval Apt. 670,West Dianatown,VT,89358,103902.57,Designer,540,"June 27, 2004",BR040,1,Pending,Malta,online
CUST000093,Katrina,Ray,18/05/1968,F,tiffanysantiago@example.com,,17535 Williams Fork Suite 631,Wallaceshire,NV,12037,45428.14,Doctor,819,05/26/2001,BR036,1,pending,Togo,Referral
CUST000094,Vernon,Stewart,"October 26, 1972",F,,960.788.0199,37589 Moran Lakes Suite 113,West Michaelport,OH,68918,58531.82,Student,799,05/24/2010,BR024,True,pending,Holy See (Vatican City State),Online
CUST000095,Jacqueline,Williams,43-07-31,0,travisunderwood@example.net,(001) 361-8493,917 Barrett Parkways,South Adam,WA,06867,56276.21,Lawyer,826,05/08/2012,BR043,FALSE,,Micronesia,Branch
CUST000096,Savannah,Roberson,83-03-14,0,xglass@example.org,+10015926216,4722 Morrison Summit Suite 858,East Jason,VT,38587,USD 18776.98,Developer,782,21-08-09,BR012,,verified,Poland,online
CUST000097,Michael,chambers,09/06/1980,M,williambenson@example.com,001-315-2879,00342 Vega Drive Apt. 438,West Lisaville,RI,89043,"80364,21",Consultant,344,"October 07, 2023",BR048,No,,Saint Vincent and the Grenadines,branch
CUST000098,Anna,Walker,60-11-09,M,yyoung@example.net,N/A,347 Tonya Club,East Jill,DE,49941,79136.93,Analyst,508,18-07-15,BR017,1,N/A,Armenia,ONLINE
CUST000099,Roy,Hawkins,21-05-1952,M,eugenesingleton@example.org,372-702-5909,81826 Davis Forges,Lake Martin,ZZ,38980,70178.97,Chef,833,11/06/2012,BR029,Yes,VERIFIED,Cuba,N/A
CUST000100,Stephanie,Montgomery,08/28/1965,M,wbarajas@example.net,(715) 873-9930,4840 Robertson Pass,Tuckerport,MH,85898,61789.45,Contractor,583,10-02-24,,TRUE,,Congo,N/A
CUST000101,  Luke,Miller,29/06/1946,F,jacksonstephanie@example.net,,75011 Gregory Glen,New Lorraineview,MT,51361,USD 20462.02,Doctor,525,10-04-25,,1,VERIFIED,Korea,ONLINE
CUST000102,Crystal,Hamilton,09/06/2000,F,pricedavid@example.org,,0728 Derek Lock Suite 245,New Nancyberg,DE,05976,55277.41,Doctor,306,01-11-23,BR032,TRUE,verified,Albania,
CUST000103,Ashley,Long,99/99/9999,M,torreskaitlin@example.net,+14362822239,814 John Flat Suite 552,North Justin,CA,25863,,Chef,565,08-05-24,BR012,False,,Ghana,online
CUST000104,todd,Murphy,10/01/1972,F,heather29@example.net,756.920.5336,5478 Gregory Rest Apt. 428,West Jessica,SC,10523,41920.3,Student,348,14-11-2017,BR041,No,pending,Saint Lucia,Walk-in
CUST000105,Charles,SMITH,72-05-20,f,hessbeth@example.net,000-000-0000,78816 Shaw Shore Apt. 928,South Erik,OK,74663,64355.0,Lawyer,645,2018-12-03,BR022,FALSE,N/A,Palestinian Territory,Walk-in
CUST000106,Monica,Thomas,03-09-26,F,ccrosby@example.org,+10012732145,84498 Nicholas Lane Suite 918,Nicholasbury,NC,53695,84141.78,Student,706 pts,07/03/2023,BR025,1,VERIFIED,Guinea,Walk-in
CUST000107,Lisa,Reed,"October 04, 1979",M,aeaton@example.net,4724318432,136 Cortez Orchard Suite 739,Lake Martha,AK,32439,136016.51,Contractor,532,07-01-2004,,,Pending,Aruba,branch
CUST000108,David,Vargas,88-01-03,M,crystalwilliams@example.net,202.642.8699,79772 Maria Rapid,Port Brandi,WI,24340,76110.22,Officer,591,11/11/2023,BR008,False,pending,Nigeria,
CUST000109,  Donna,BAKER,1984-02-20,Male,,866.421.0388,79908 Christopher Shoals,New Amber,AL,89441,79014.26,Chef,496,21/03/2011,BR050,False,VERIFIED,Pakistan,Online
CUST000110,Ryan,Fisher,13-11-1957,0,,000-000-0000,09818 Nicholas Ford,Robertville,FL,56347,67394.39,Accountant,705,99/99/9999,BR045,False,Pending,Pakistan,Branch
CUST000111,Brenda,Green,25/04/1962,M,NCUNNINGHAM@EXAMPLE.COM,,137 Craig Pass,Hartmanside,RI,91865,2843.01,Teacher,601,25/12/2021,BR039,,Pending,Poland,Referral
CUST000112,Jasmine,Martin,1980-04-25,F,brockmadeline@example.com,166.121.4351,770 Melissa Unions,Jameshaven,NC,92048,69072.01,Designer,368,12/18/2001,BR013,No,Verified,Djibouti,ONLINE
CUST000113,Christina,Craig,NULL,F,john02@example.org,(665) 766-9380,3937 Andrews Green Apt. 681,New Kellyville,AS,67778,72108.06,Doctor,521,04/21/2023,BR043,FALSE,Pending,Zimbabwe,N/A
CUST000114,Jonathan,Medina,03/31/1977,M,heather69@example.com,+10017358779,804 Justin Locks Suite 182,Edwardsborough,MH,75698,156213.47,Designer,519,"October 28, 2016",BR026,Yes,Verified,Ethiopia,
CUST000115,Ian,Reese,18/06/1941,M,victorgonzalez@example.net,000-000-0000,790 Melanie Landing,Travisshire,VI,36510,63267.37,Doctor,522,18/06/2003,BR007,1,Verified,Liechtenstein,
CUST000116,Ian,Duran,03/25/1974,M,raymond92@example.org,267-280-8562,9155 Lopez Greens,West Thomas,N/A,45471,80554.16,Chef,816,01/15/2004,BR031,Yes,,Haiti,ONLINE
CUST000117,ivan,Coleman,85-01-07,F,xhaynes@example.com,847.529.2931,270 Robert Dale,Kristenport,KS,74181,68785.09,Engineer,658,11/02/2019,BR024,TRUE,Not Verified,Togo,Online
CUST000118,Ashley,Ross,21-10-1961,m,briancervantes@example.com,000-000-0000,982 Kelly Spring,Hamptonmouth,FM,10778,USD 29096.27,Self-Employed,9999,2002-09-11,BR001,No,,Hong Kong,online
CUST000119,Christina,Ford,05-09-1949,M,mirandadavidson@example.com,(899) 661-1253,9876 Ivan Brooks Apt. 341,East Randy,CT,08862,,Self-Employed,460,10/28/2000,BR033,1,Verified,Vietnam,ONLINE
CUST000120,Natasha  ,Kelley,42-08-23,F,wisealexandria@example.org,N/A,82005 Lin Mountain,Amyberg,UT,71186,96317.66,Lawyer,836,24/01/2006,BR011,0,Not Verified,Christmas Island,Branch
CUST000121,BRITTANY,Bryant,"July 08, 1956",F,omills@example.net,2572831745,4780 Arroyo Neck,Albertchester,AS,00000,97686.12,Engineer,788,05-01-2006,BR025,False,pending,French Guiana,Marketing
CUST000122,Carla,Robles,04/19/1960,M,N/A,,3122 Rodriguez Motorway Suite 497,West Andrew,AR,70620,38171.44,Officer,849,2023-07-24,BR003,FALSE,,Angola,Online
CUST000123,Jacob,Garcia,12-01-1990,F,david70@example.org,720-973-5647,1204 Jones Mountains,East Paula,KS,50515,119097.8,Chef,483,"May 08, 2020",BR021,TRUE,Not Verified,Switzerland,branch
CUST000124,Alexander,Villegas,96-11-19,F,paulproctor@example.org,+1-001-303-6718,435 Michelle Forge Apt. 365,East Laurashire,DE,52380,20935.21,Accountant,507,"February 27, 2000",BR001,False,VERIFIED,Somalia,branch
CUST000125,John,  Novak,09/15/1980,Female,N/A,+1-001-413-9271,,West Tina,WY,84996,90540.0,Officer,481,04-06-2020,BR025,No,,Saudi Arabia,Branch
CUST000126,Michael,  Snow,1966-04-09,0,andrewgray@example.net,000-000-0000,7498 Casey Drives Suite 448,Shawnhaven,MS,96662,146665.95,Driver,808,23-04-24,BR019,FALSE,Verified,Colombia,branch
CUST000127,  Nicole,Harvey,11/02/1996,1,kimberly35@example.net,6867387829,511 Bradley Curve Apt. 031,Leeton,OK,84616,35331.23,Accountant,790,14/04/2021,BR035,0,pending,Taiwan,ONLINE
CUST000128,Paul,Burns,99/99/9999,F,brandon39@example.net,+1-803-771-7058,480 Mary Club,New Colton,VA,30780,50179.58,Developer,332,"March 06, 2012",BR020,FALSE,verified,Martinique,online
CUST000129,Paul,Lee  ,"May 10, 1943",M,ashleymeza@example.net,+1-001-786-4195,5855 Duran Meadows Suite 939,South Katie,WA,33804,73487.8,Engineer,389,13/12/2014,BR002,1,VERIFIED,Guyana,Marketing
CUST000130,Suzanne,West,65-09-16,F,CSMITH@EXAMPLE.COM,000-000-0000,5224 Preston Gateway,West Lisa,CO,75275,52378.35,Lawyer,,01/10/2004,BR038,False,N/A,Iran,Marketing
